"instance_source_pkey","instance_destination_pkey","instance_name","instance_rootKey","instance_rootSystem","Relationship_type","EventToSubEventParent_pkey","EventToSubEventParent_sourceSystem","EventToSubEventChild_pkey","EventToSubEventChild_sourceSystem","EventToSubEvent_sourcePkey","SubEventToRegistrationParent_pkey","SubEventToRegistrationParent_sourceSystem","SubEventToRegistrationChild_pkey","SubEventToRegistrationChild_sourceSystem","SubEventToRegistration_sourcePkey","RegistrationToResultsParent_pkey","RegistrationToResultsParent_sourceSystem","RegistrationToResultsChild_pkey","RegistrationToResultsChild_sourceSystem","RegistrationToResults_sourcePkey"
"EveK6465683900780e-0","EveK6465683900780e-0 hierarchy instance","EveK6465683900780e-0.hierarchy.instance","EveK6465683900780e-0","ns.vm.hierarchy-import","child_record","EveK6465683900780e-0","Desktop_Test_Flatfile","SbeK8335456922074e-0","Desktop_Test_Flatfile","Hkey_EtSE_EveK6465683900780e-0_10","SbeK8335456922074e-0","Desktop_Test_Flatfile","RegK8220848766827","Desktop_Test_Flatfile","Hkey_SEtR_EveK6465683900780e-0_10","RegK8220848766827","Desktop_Test_Flatfile","ResK6068876071313","Desktop_Test_Flatfile","Hkey_RtR_EveK6465683900780e-0_10"
"EveK6465683900780e-0","EveK6465683900780e-0 hierarchy instance","EveK6465683900780e-0.hierarchy.instance","EveK6465683900780e-0","ns.vm.hierarchy-import","child_record","EveK6465683900780e-0","Desktop_Test_Flatfile","SbeK8335456922074e-0","Desktop_Test_Flatfile","Hkey_EtSE_EveK6465683900780e-0_11","SbeK8335456922074e-0","Desktop_Test_Flatfile","RegK7832763915429","Desktop_Test_Flatfile","Hkey_SEtR_EveK6465683900780e-0_11","RegK7832763915429","Desktop_Test_Flatfile","ResK5053158690437","Desktop_Test_Flatfile","Hkey_RtR_EveK6465683900780e-0_11"
"EveK5442454063074e-1","EveK5442454063074e-1 hierarchy instance","EveK5442454063074e-1.hierarchy.instance","EveK5442454063074e-1","ns.vm.hierarchy-import","child_record","EveK5442454063074e-1","Desktop_Test_Flatfile","SbeK1277653428034e-1","Desktop_Test_Flatfile","Hkey_EtSE_EveK5442454063074e-1_12","SbeK1277653428034e-1","Desktop_Test_Flatfile","RegK6723290632136","Desktop_Test_Flatfile","Hkey_SEtR_EveK5442454063074e-1_12","RegK6723290632136","Desktop_Test_Flatfile","ResK5537105918466","Desktop_Test_Flatfile","Hkey_RtR_EveK5442454063074e-1_12"
"EveK5442454063074e-1","EveK5442454063074e-1 hierarchy instance","EveK5442454063074e-1.hierarchy.instance","EveK5442454063074e-1","ns.vm.hierarchy-import","child_record","EveK5442454063074e-1","Desktop_Test_Flatfile","SbeK1277653428034e-1","Desktop_Test_Flatfile","Hkey_EtSE_EveK5442454063074e-1_13","SbeK1277653428034e-1","Desktop_Test_Flatfile","RegK9472128108318","Desktop_Test_Flatfile","Hkey_SEtR_EveK5442454063074e-1_13","RegK9472128108318","Desktop_Test_Flatfile","ResK6906254648484","Desktop_Test_Flatfile","Hkey_RtR_EveK5442454063074e-1_13"
"EveK6465683900780e-0","EveK6465683900780e-0 hierarchy instance","EveK6465683900780e-0.hierarchy.instance","EveK6465683900780e-0","ns.vm.hierarchy-import","child_record","EveK6465683900780e-0","Desktop_Test_Flatfile","SbeK8335456922074e-0","Desktop_Test_Flatfile","Hkey_EtSE_EveK6465683900780e-0_14","SbeK8335456922074e-0","Desktop_Test_Flatfile","RegK9284909400548","Desktop_Test_Flatfile","Hkey_SEtR_EveK6465683900780e-0_14","RegK9284909400548","Desktop_Test_Flatfile","ResK6751423980588","Desktop_Test_Flatfile","Hkey_RtR_EveK6465683900780e-0_14"
"EveK5442454063074e-1","EveK5442454063074e-1 hierarchy instance","EveK5442454063074e-1.hierarchy.instance","EveK5442454063074e-1","ns.vm.hierarchy-import","child_record","EveK5442454063074e-1","Desktop_Test_Flatfile","SbeK1277653428034e-1","Desktop_Test_Flatfile","Hkey_EtSE_EveK5442454063074e-1_15","SbeK1277653428034e-1","Desktop_Test_Flatfile","RegK3800098243351","Desktop_Test_Flatfile","Hkey_SEtR_EveK5442454063074e-1_15","RegK3800098243351","Desktop_Test_Flatfile","ResK7564006506360","Desktop_Test_Flatfile","Hkey_RtR_EveK5442454063074e-1_15"
"EveK5442454063074e-1","EveK5442454063074e-1 hierarchy instance","EveK5442454063074e-1.hierarchy.instance","EveK5442454063074e-1","ns.vm.hierarchy-import","child_record","EveK5442454063074e-1","Desktop_Test_Flatfile","SbeK1277653428034e-1","Desktop_Test_Flatfile","Hkey_EtSE_EveK5442454063074e-1_16","SbeK1277653428034e-1","Desktop_Test_Flatfile","RegK4763468811835","Desktop_Test_Flatfile","Hkey_SEtR_EveK5442454063074e-1_16","RegK4763468811835","Desktop_Test_Flatfile","ResK8688682278676","Desktop_Test_Flatfile","Hkey_RtR_EveK5442454063074e-1_16"
"EveK5442454063074e-1","EveK5442454063074e-1 hierarchy instance","EveK5442454063074e-1.hierarchy.instance","EveK5442454063074e-1","ns.vm.hierarchy-import","child_record","EveK5442454063074e-1","Desktop_Test_Flatfile","SbeK1277653428034e-1","Desktop_Test_Flatfile","Hkey_EtSE_EveK5442454063074e-1_17","SbeK1277653428034e-1","Desktop_Test_Flatfile","RegK2526378477254","Desktop_Test_Flatfile","Hkey_SEtR_EveK5442454063074e-1_17","RegK2526378477254","Desktop_Test_Flatfile","ResK8170929283722","Desktop_Test_Flatfile","Hkey_RtR_EveK5442454063074e-1_17"
"EveK3984622691419e-2","EveK3984622691419e-2 hierarchy instance","EveK3984622691419e-2.hierarchy.instance","EveK3984622691419e-2","ns.vm.hierarchy-import","child_record","EveK3984622691419e-2","Desktop_Test_Flatfile","SbeK7736276809711e-2","Desktop_Test_Flatfile","Hkey_EtSE_EveK3984622691419e-2_18","SbeK7736276809711e-2","Desktop_Test_Flatfile","RegK9742804233512","Desktop_Test_Flatfile","Hkey_SEtR_EveK3984622691419e-2_18","RegK9742804233512","Desktop_Test_Flatfile","ResK7242396584396","Desktop_Test_Flatfile","Hkey_RtR_EveK3984622691419e-2_18"
"EveK5442454063074e-1","EveK5442454063074e-1 hierarchy instance","EveK5442454063074e-1.hierarchy.instance","EveK5442454063074e-1","ns.vm.hierarchy-import","child_record","EveK5442454063074e-1","Desktop_Test_Flatfile","SbeK1277653428034e-1","Desktop_Test_Flatfile","Hkey_EtSE_EveK5442454063074e-1_19","SbeK1277653428034e-1","Desktop_Test_Flatfile","RegK6736265878743","Desktop_Test_Flatfile","Hkey_SEtR_EveK5442454063074e-1_19","RegK6736265878743","Desktop_Test_Flatfile","ResK3965535310635","Desktop_Test_Flatfile","Hkey_RtR_EveK5442454063074e-1_19"
